epoch,train_time_sec
1,32.347615
2,1.453865
3,1.360561
4,1.350998
5,1.409023
6,1.384849
7,1.420862
8,1.332437
9,1.361221
10,1.379958
11,34.116666
12,1.38565
13,1.440613
14,1.428836
15,1.410662
16,1.392024
17,1.428704
18,1.374665
19,1.367277
20,1.447593
21,33.738898
22,1.492411
23,1.452994
24,1.427255
25,1.416278
26,1.439083
27,1.46009
28,1.457234
29,1.471454
30,1.498723
31,33.341039
32,1.423638
33,1.373768
34,7.191043
35,1.441066
36,1.415629
37,1.398857
38,1.417881
39,1.409444
40,1.430082
41,33.322964
42,1.429072
43,1.409309
44,7.456269
45,1.466524
46,1.513024
47,1.468854
48,1.495405
49,1.41646
50,1.46754
51,32.820575
52,1.415219
53,1.403799
54,1.421562
55,1.408021
56,1.427724
57,1.365298
58,1.407311
59,1.432248
60,1.398754
61,33.093988
62,1.385381
63,1.389065
64,1.478906
65,1.376352
66,1.388865
67,1.472479
68,1.363742
69,1.399741
70,1.412743
71,33.31145
72,1.472365
73,1.40636
74,1.393533
75,1.436841
76,1.45237
77,1.444771
78,1.388512
79,1.43467
80,7.654366
81,32.918622
82,1.434413
83,1.409372
84,1.463327
85,1.477073
86,1.442612
87,1.432101
88,1.446648
89,1.404937
90,1.40618
91,32.829691
92,1.394618
93,1.414456
94,1.444942
95,1.392986
96,1.373136
97,1.379849
98,1.377068
99,1.354202
100,1.386511
